amfi_code,mean_daily_return,std_daily_return,sharpe_ratio,annualised_return_pct,scheme_name,fund_house,sharpe_rank
148567,0.001074,0.008941,1.4483,27.06,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,1
120843,0.001082,0.010008,1.3067,27.26,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,2
148569,0.001124,0.011134,1.2349,28.33,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,3
119551,0.000917,0.008656,1.2083,23.1,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,4
120505,0.001161,0.012152,1.1801,29.27,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,5
149323,0.001055,0.011179,1.1321,26.59,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,6
100033,0.00108,0.011929,1.0937,27.21,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,7
118632,0.000865,0.008913,1.0817,21.8,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,8
101206,0.000852,0.009177,1.0272,21.46,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,9
120504,0.000843,0.009048,1.0265,21.24,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,10
119094,0.001027,0.012225,0.9982,25.87,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,11
119552,0.000785,0.008781,0.9533,19.79,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,12
149324,0.001194,0.015648,0.9498,30.09,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,13
119598,0.001201,0.015837,0.9453,30.27,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,14
148568,0.000825,0.009719,0.9263,20.79,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,15
102885,0.000674,0.008086,0.8171,16.99,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,16
120503,0.000698,0.008746,0.798,17.58,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,17
125497,0.00071,0.009241,0.7758,17.88,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,18
118635,0.0006,0.008179,0.6649,15.13,Nippon India ETF Nifty 50 BeES,Nippon India MF,19
120506,0.00065,0.009594,0.6489,16.38,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,20
118633,0.000616,0.008817,0.6452,15.53,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,21
102887,0.000645,0.009927,0.6195,16.26,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,22
120507,0.000268,0.000311,0.4957,6.74,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,23
120841,0.000522,0.008481,0.4943,13.15,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,24
149322,0.000522,0.009042,0.464,13.16,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,25
118634,0.000707,0.015901,0.4484,17.82,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,26
125498,0.000477,0.011561,0.3006,12.02,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,27
101207,0.000424,0.016251,0.1627,10.7,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,28
119093,0.00033,0.008809,0.1296,8.31,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,29
120842,0.000312,0.011273,0.076,7.86,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,30
119092,0.000275,0.008788,0.0308,6.93,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,31
119599,0.000201,0.015717,-0.0572,5.07,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,32
119095,0.000182,0.01579,-0.076,4.6,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,33
120844,0.000256,0.000323,-0.0887,6.45,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,34
100016,0.000142,0.009164,-0.2015,3.57,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,35
102886,0.00011,0.011424,-0.2058,2.77,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,36
119120,0.000222,0.002499,-0.2266,5.6,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,37
118636,0.000202,0.002511,-0.3566,5.08,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,38
100025,0.00017,0.00246,-0.5671,4.29,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,39
101208,0.000242,0.000319,-0.8156,6.09,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,40
