amfi_code,sortino_ratio,downside_std,negative_days,scheme_name,sortino_rank
148567,2.3856,0.005428,506,Mirae Asset Large Cap Fund - Regular - Growth,1
120843,2.3643,0.005531,534,Kotak Flexicap Fund - Regular - Growth,2
148569,2.1469,0.006404,545,Mirae Asset Tax Saver Fund - Regular - Growth,3
119551,2.1403,0.004887,518,SBI Bluechip Fund - Regular Plan - Growth,4
120505,2.0294,0.007067,539,ICICI Pru Midcap Fund - Regular - Growth,5
149323,1.8751,0.00675,526,DSP Midcap Fund - Regular - Growth,6
118632,1.8501,0.005211,532,Nippon India Large Cap Fund - Regular - Growth,7
100033,1.8291,0.007133,538,HDFC Mid-Cap Opportunities Fund - Regular - Growth,8
120504,1.8053,0.005145,517,ICICI Pru Bluechip Fund - Direct - Growth,9
101206,1.7996,0.005238,539,ABSL Frontline Equity Fund - Regular - Growth,10
119094,1.7038,0.007163,553,Axis Midcap Fund - Regular - Growth,11
119598,1.6753,0.008936,546,SBI Small Cap Fund - Regular Plan - Growth,12
148568,1.6327,0.005514,537,Mirae Asset Emerging Bluechip Fund - Regular - Growth,13
149324,1.6198,0.009175,542,DSP Small Cap Fund - Regular - Growth,14
119552,1.6098,0.0052,539,SBI Bluechip Fund - Direct Plan - Growth,15
102885,1.4357,0.004602,537,UTI Nifty 50 Index Fund - Regular - Growth,16
120503,1.3379,0.005216,545,ICICI Pru Bluechip Fund - Regular - Growth,17
125497,1.3307,0.005387,541,HDFC Top 100 Fund - Direct Plan - Growth,18
118633,1.1545,0.004928,552,Nippon India Large Cap Fund - Direct - Growth,19
118635,1.138,0.004778,552,Nippon India ETF Nifty 50 BeES,20
120506,1.0959,0.005681,545,ICICI Pru Value Discovery Fund - Regular - Growth,21
102887,1.0888,0.005649,556,UTI Flexi Cap Fund - Regular - Growth,22
120507,1.0521,0.000147,225,ICICI Pru Liquid Fund - Regular - Growth,23
120841,0.8626,0.00486,545,Kotak Bluechip Fund - Regular - Growth,24
149322,0.7621,0.005505,542,DSP Top 100 Equity Fund - Regular - Growth,25
118634,0.746,0.009558,554,Nippon India Small Cap Fund - Regular - Growth,26
125498,0.5088,0.00683,548,HDFC Mid-Cap Opportunities Fund - Direct - Growth,27
101207,0.2766,0.009555,568,ABSL Small Cap Fund - Regular - Growth,28
119093,0.2211,0.005164,554,Axis Bluechip Fund - Direct - Growth,29
120842,0.1247,0.006871,545,Kotak Emerging Equity Fund - Regular - Growth,30
119092,0.0526,0.005146,557,Axis Bluechip Fund - Regular - Growth,31
119599,-0.0944,0.009523,567,SBI Small Cap Fund - Direct Plan - Growth,32
119095,-0.1282,0.009359,568,Axis Small Cap Fund - Regular - Growth,33
120844,-0.1877,0.000153,263,Kotak Liquid Fund - Regular - Growth,34
102886,-0.3472,0.006772,559,UTI Mid Cap Fund - Regular - Growth,35
100016,-0.351,0.005261,579,HDFC Top 100 Fund - Regular Plan - Growth,36
119120,-0.3768,0.001503,537,SBI Magnum Gilt Fund - Regular Plan - Growth,37
118636,-0.6135,0.001459,550,Nippon India Gilt Securities Fund - Regular - Growth,38
100025,-0.9418,0.001481,549,HDFC Short Term Debt Fund - Regular - Growth,39
101208,-1.681,0.000155,261,ABSL Liquid Fund - Regular - Growth,40
