amfi_code,var_95_daily,cvar_95_daily,var_95_annual,total_days,breach_days,scheme_name,category,fund_house
119599,-2.6859,-3.2384,-42.638,1149,58,SBI Small Cap Fund - Direct Plan - Growth,Equity,SBI Mutual Fund
119095,-2.6188,-3.1667,-41.5728,1149,58,Axis Small Cap Fund - Regular - Growth,Equity,Axis Mutual Fund
101207,-2.6021,-3.2459,-41.3075,1149,58,ABSL Small Cap Fund - Regular - Growth,Equity,Aditya Birla Sun Life MF
118634,-2.5438,-3.2304,-40.3818,1149,58,Nippon India Small Cap Fund - Regular - Growth,Equity,Nippon India MF
119598,-2.4507,-3.0595,-38.9037,1149,58,SBI Small Cap Fund - Regular Plan - Growth,Equity,SBI Mutual Fund
149324,-2.3483,-3.1036,-37.2782,1149,58,DSP Small Cap Fund - Regular - Growth,Equity,DSP Mutual Fund
102886,-1.922,-2.3251,-30.5113,1149,58,UTI Mid Cap Fund - Regular - Growth,Equity,UTI Mutual Fund
100033,-1.9034,-2.3456,-30.2148,1149,58,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,HDFC Mutual Fund
120505,-1.8892,-2.4342,-29.9898,1149,58,ICICI Pru Midcap Fund - Regular - Growth,Equity,ICICI Prudential MF
119094,-1.848,-2.426,-29.3365,1149,58,Axis Midcap Fund - Regular - Growth,Equity,Axis Mutual Fund
125498,-1.8365,-2.3094,-29.154,1149,58,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity,HDFC Mutual Fund
120842,-1.8219,-2.2725,-28.921,1149,58,Kotak Emerging Equity Fund - Regular - Growth,Equity,Kotak Mahindra MF
149323,-1.7882,-2.2607,-28.3869,1149,58,DSP Midcap Fund - Regular - Growth,Equity,DSP Mutual Fund
148569,-1.7118,-2.1328,-27.1743,1149,58,Mirae Asset Tax Saver Fund - Regular - Growth,Equity,Mirae Asset MF
102887,-1.5232,-1.9411,-24.1794,1149,58,UTI Flexi Cap Fund - Regular - Growth,Equity,UTI Mutual Fund
148568,-1.4712,-1.8765,-23.3538,1149,58,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity,Mirae Asset MF
125497,-1.4592,-1.831,-23.1637,1149,58,HDFC Top 100 Fund - Direct Plan - Growth,Equity,HDFC Mutual Fund
120843,-1.4508,-1.8381,-23.0306,1149,58,Kotak Flexicap Fund - Regular - Growth,Equity,Kotak Mahindra MF
149322,-1.4474,-1.8402,-22.9765,1149,58,DSP Top 100 Equity Fund - Regular - Growth,Equity,DSP Mutual Fund
120506,-1.4388,-1.9405,-22.841,1149,58,ICICI Pru Value Discovery Fund - Regular - Growth,Equity,ICICI Prudential MF
100016,-1.4364,-1.806,-22.8016,1149,58,HDFC Top 100 Fund - Regular Plan - Growth,Equity,HDFC Mutual Fund
119093,-1.4226,-1.7487,-22.5823,1149,58,Axis Bluechip Fund - Direct - Growth,Equity,Axis Mutual Fund
118632,-1.3954,-1.7619,-22.1514,1149,58,Nippon India Large Cap Fund - Regular - Growth,Equity,Nippon India MF
119092,-1.375,-1.7328,-21.8268,1149,58,Axis Bluechip Fund - Regular - Growth,Equity,Axis Mutual Fund
120504,-1.3728,-1.7494,-21.7928,1149,58,ICICI Pru Bluechip Fund - Direct - Growth,Equity,ICICI Prudential MF
148567,-1.356,-1.7623,-21.5255,1149,58,Mirae Asset Large Cap Fund - Regular - Growth,Equity,Mirae Asset MF
120503,-1.355,-1.7451,-21.51,1149,58,ICICI Pru Bluechip Fund - Regular - Growth,Equity,ICICI Prudential MF
119552,-1.3501,-1.7336,-21.4321,1149,58,SBI Bluechip Fund - Direct Plan - Growth,Equity,SBI Mutual Fund
118633,-1.3443,-1.663,-21.3393,1149,58,Nippon India Large Cap Fund - Direct - Growth,Equity,Nippon India MF
101206,-1.3282,-1.7439,-21.084,1149,58,ABSL Frontline Equity Fund - Regular - Growth,Equity,Aditya Birla Sun Life MF
120841,-1.3142,-1.6363,-20.8619,1149,58,Kotak Bluechip Fund - Regular - Growth,Equity,Kotak Mahindra MF
119551,-1.2846,-1.6397,-20.3928,1149,58,SBI Bluechip Fund - Regular Plan - Growth,Equity,SBI Mutual Fund
102885,-1.2613,-1.549,-20.0219,1149,58,UTI Nifty 50 Index Fund - Regular - Growth,Equity,UTI Mutual Fund
118635,-1.2554,-1.6177,-19.9284,1149,58,Nippon India ETF Nifty 50 BeES,Equity,Nippon India MF
119120,-0.3938,-0.5014,-6.2518,1149,58,SBI Magnum Gilt Fund - Regular Plan - Growth,Debt,SBI Mutual Fund
118636,-0.3804,-0.4919,-6.0389,1149,58,Nippon India Gilt Securities Fund - Regular - Growth,Debt,Nippon India MF
100025,-0.3793,-0.4994,-6.0216,1149,58,HDFC Short Term Debt Fund - Regular - Growth,Debt,HDFC Mutual Fund
120844,-0.0285,-0.0411,-0.4521,1149,58,Kotak Liquid Fund - Regular - Growth,Debt,Kotak Mahindra MF
101208,-0.0269,-0.0422,-0.4265,1149,58,ABSL Liquid Fund - Regular - Growth,Debt,Aditya Birla Sun Life MF
120507,-0.0222,-0.0373,-0.3517,1149,58,ICICI Pru Liquid Fund - Regular - Growth,Debt,ICICI Prudential MF
