amfi_code,hhi_score,scheme_name,category,concentration
119092,0.2064,Axis Bluechip Fund - Regular - Growth,Equity,High
101207,0.2007,ABSL Small Cap Fund - Regular - Growth,Equity,High
119599,0.1748,SBI Small Cap Fund - Direct Plan - Growth,Equity,High
102885,0.1747,UTI Nifty 50 Index Fund - Regular - Growth,Equity,High
118632,0.1683,Nippon India Large Cap Fund - Regular - Growth,Equity,High
148568,0.1679,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity,High
120505,0.1576,ICICI Pru Midcap Fund - Regular - Growth,Equity,High
120506,0.1538,ICICI Pru Value Discovery Fund - Regular - Growth,Equity,High
125498,0.1524,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity,High
120841,0.1497,Kotak Bluechip Fund - Regular - Growth,Equity,Medium
148569,0.1494,Mirae Asset Tax Saver Fund - Regular - Growth,Equity,Medium
100033,0.1476,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,Medium
149323,0.1416,DSP Midcap Fund - Regular - Growth,Equity,Medium
120503,0.1409,ICICI Pru Bluechip Fund - Regular - Growth,Equity,Medium
100016,0.1395,HDFC Top 100 Fund - Regular Plan - Growth,Equity,Medium
148567,0.1386,Mirae Asset Large Cap Fund - Regular - Growth,Equity,Medium
125497,0.1366,HDFC Top 100 Fund - Direct Plan - Growth,Equity,Medium
119094,0.1364,Axis Midcap Fund - Regular - Growth,Equity,Medium
118635,0.1359,Nippon India ETF Nifty 50 BeES,Equity,Medium
149322,0.1344,DSP Top 100 Equity Fund - Regular - Growth,Equity,Medium
119093,0.1309,Axis Bluechip Fund - Direct - Growth,Equity,Medium
102887,0.1298,UTI Flexi Cap Fund - Regular - Growth,Equity,Medium
101206,0.1293,ABSL Frontline Equity Fund - Regular - Growth,Equity,Medium
120843,0.1287,Kotak Flexicap Fund - Regular - Growth,Equity,Medium
120842,0.1274,Kotak Emerging Equity Fund - Regular - Growth,Equity,Medium
118633,0.1215,Nippon India Large Cap Fund - Direct - Growth,Equity,Medium
149324,0.1187,DSP Small Cap Fund - Regular - Growth,Equity,Medium
119551,0.1187,SBI Bluechip Fund - Regular Plan - Growth,Equity,Medium
102886,0.1147,UTI Mid Cap Fund - Regular - Growth,Equity,Medium
119095,0.1096,Axis Small Cap Fund - Regular - Growth,Equity,Medium
120504,0.1087,ICICI Pru Bluechip Fund - Direct - Growth,Equity,Medium
118634,0.1084,Nippon India Small Cap Fund - Regular - Growth,Equity,Medium
119552,0.108,SBI Bluechip Fund - Direct Plan - Growth,Equity,Medium
119598,0.1073,SBI Small Cap Fund - Regular Plan - Growth,Equity,Medium
